Date,Time,Call OI,Put OI,Difference_in_OI,Nifty Spot,SP1_Call,SP2_Call,SP3_Call,SP4_Call,SP5_Call,SP6_Call,SP1_Call_Price_,SP2_Call_Price,SP3_Call_Price,SP4_Call_Price,SP5_Call_Price,SP6_Call_Price,SP1_Call_IV,SP2_Call_IV,SP3_Call_IV,SP4_Call_IV,SP5_Call_IV,SP6_Call_IV,SP1_Put,SP2_Put,SP3_Put,SP4_Put,SP5_Put,SP6_Put,SP1_Put_Price_,SP2_Put_Price,SP3_Put_Price,SP4_Put_Price,SP5_Put_Price,SP6_Put_Price,SP1_Put_IV,SP2_Put_IV,SP3_Put_IV,SP4_Put_IV,SP5_Put_IV,SP6_Put_IV
3/1/2022,9:15,155677,187870,32193,17473.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2022,9:20,202130,243758,41628,17439.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2022,9:25,218968,260684,41716,17462.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2022,9:30,236760,284548,47788,17462.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2022,9:35,250681,291946,41265,17473.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2022,9:40,259520,302304,42784,17463.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2022,9:45,264423,310116,45693,17484.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2022,9:50,270771,317470,46699,17493.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2022,9:55,269059,319993,50934,17497.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2022,10:00,265612,325565,59953,17496.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
