Company Name,Industry,Symbol
3M India Ltd.,Diversified,3MINDIA
ABB India Ltd.,Capital Goods,ABB
ACC Ltd.,Construction Materials,ACC
AIA Engineering Ltd.,Capital Goods,AIAENG
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO
AU Small Finance Bank Ltd.,Financial Services,AUBANK
Aarti Drugs Ltd.,Healthcare,AARTIDRUGS
Aavas Financiers Ltd.,Financial Services,AAVAS
Abbott India Ltd.,Healthcare,ABBOTINDIA
Adani Enterprises Ltd.,Metals & Mining,ADANIENT
Adani Green Energy Ltd.,Power,ADANIGREEN
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL
Adani Transmission Ltd.,Power,ADANITRANS
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL
Aditya Birla Sun Life AMC Ltd.,Financial Services,ABSLAMC
Advanced Enzyme Tech Ltd.,Fast Moving Consumer Goods,ADVENZYMES
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISCHEM
Affle (India) Ltd.,Information Technology,AFFLE
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM
Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD
Alkem Laboratories Ltd.,Healthcare,ALKEM
Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE
Allcargo Logistics Ltd.,Services,ALLCARGO
Alok Industries Ltd.,Textiles,ALOKINDS
Amara Raja Batteries Ltd.,Automobile and Auto Components,AMARAJABAT
Amber Enterprises India Ltd.,Consumer Durables,AMBER
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM
Angel One Ltd.,Financial Services,ANGELONE
Anupam Rasayan India Ltd.,Chemicals,ANURAS
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP
Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS
Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY
Asian Paints Ltd.,Consumer Durables,ASIANPAINT
Aster DM Healthcare Ltd.,Healthcare,ASTERDM
AstraZenca Pharma India Ltd.,Healthcare,ASTRAZEN
Astral Ltd.,Capital Goods,ASTRAL
Atul Ltd.,Chemicals,ATUL
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA
Avanti Feeds Ltd.,Fast Moving Consumer Goods,AVANTIFEED
Avenue Supermarts Ltd.,Consumer Services,DMART
Axis Bank Ltd.,Financial Services,AXISBANK
BASF India Ltd.,Chemicals,BASF
